Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Australia,N/A,1,Sat Jul 17 2010,Kapfenberger SV,0-0,FC RB Salzburg,2010,Jul,17,17/Jul/2010,Sat,0,0,0,Draw
Australia,N/A,1,Sat Jul 17 2010,SC Wiener Neustadt,5-0,LASK Linz,2010,Jul,17,17/Jul/2010,Sat,5,5,0,SC Wiener Neustadt
Australia,N/A,1,Sat Jul 17 2010,SV Ried,0-3,SK Sturm Graz,2010,Jul,17,17/Jul/2010,Sat,3,0,3,SK Sturm Graz
Australia,N/A,1,Sun Jul 18 2010,FK Austria Wien,2-0,SV Mattersburg,2010,Jul,18,18/Jul/2010,Sun,2,2,0,FK Austria Wien
Australia,N/A,1,Sun Jul 18 2010,FC Wacker Innsbruck,4-0,SK Rapid Wien,2010,Jul,18,18/Jul/2010,Sun,4,4,0,FC Wacker Innsbruck
Australia,N/A,2,Sat Jul 24 2010,SV Mattersburg,01-Apr,SV Ried,2010,Jul,24,24/Jul/2010,Sat,5,1,4,SV Ried
Australia,N/A,2,Sat Jul 24 2010,SK Sturm Graz,2-0,Kapfenberger SV,2010,Jul,24,24/Jul/2010,Sat,2,2,0,SK Sturm Graz
Australia,N/A,2,Sun Jul 25 2010,LASK Linz,03-Apr,FK Austria Wien,2010,Jul,25,25/Jul/2010,Sun,7,3,4,FK Austria Wien
Australia,N/A,2,Sun Jul 25 2010,SK Rapid Wien,01-Feb,SC Wiener Neustadt,2010,Jul,25,25/Jul/2010,Sun,3,1,2,SC Wiener Neustadt
Australia,N/A,3,Sat Jul 31 2010,SV Ried,1-0,LASK Linz,2010,Jul,31,31/Jul/2010,Sat,1,1,0,SV Ried
Australia,N/A,3,Sat Jul 31 2010,Kapfenberger SV,03-Jan,SV Mattersburg,2010,Jul,31,31/Jul/2010,Sat,4,3,1,Kapfenberger SV
Australia,N/A,3,Sun Aug 1 2010,SK Rapid Wien,02-Jan,FC RB Salzburg,2010,Aug,1,1/Aug/2010,Sun,3,2,1,SK Rapid Wien
Australia,N/A,3,Sun Aug 1 2010,SC Wiener Neustadt,0-0,FK Austria Wien,2010,Aug,1,1/Aug/2010,Sun,0,0,0,Draw
Australia,N/A,3,Sun Aug 1 2010,FC Wacker Innsbruck,02-Feb,SK Sturm Graz,2010,Aug,1,1/Aug/2010,Sun,4,2,2,Draw
Australia,N/A,4,Sat Aug 7 2010,FC RB Salzburg,04-Feb,SC Wiener Neustadt,2010,Aug,7,7/Aug/2010,Sat,6,4,2,FC RB Salzburg
Australia,N/A,4,Sat Aug 7 2010,SV Mattersburg,0-2,FC Wacker Innsbruck,2010,Aug,7,7/Aug/2010,Sat,2,0,2,FC Wacker Innsbruck
Australia,N/A,4,Sat Aug 7 2010,LASK Linz,0-1,Kapfenberger SV,2010,Aug,7,7/Aug/2010,Sat,1,0,1,Kapfenberger SV
Australia,N/A,4,Sun Aug 8 2010,FK Austria Wien,0-1,SV Ried,2010,Aug,8,8/Aug/2010,Sun,1,0,1,SV Ried
Australia,N/A,4,Sun Aug 8 2010,SK Sturm Graz,0-2,SK Rapid Wien,2010,Aug,8,8/Aug/2010,Sun,2,0,2,SK Rapid Wien
