Country,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
,1,Mon Jul 12 2010,SKN St. Pölten,01-Apr,FC Admira Wacker Mödling,2010,Jul,12,12/Jul/2010,Mon,5,1,4,FC Admira Wacker Mödling
,1,Tue Jul 13 2010,SV Grödig,03-Feb,Austria Lustenau,2010,Jul,13,13/Jul/2010,Tue,5,3,2,SV Grödig
,1,Tue Jul 13 2010,Wolfsberger AC,04-Jan,FC Gratkorn,2010,Jul,13,13/Jul/2010,Tue,5,4,1,Wolfsberger AC
,1,Tue Jul 13 2010,SCR Altach,4-0,TSV Hartberg,2010,Jul,13,13/Jul/2010,Tue,4,4,0,SCR Altach
,1,Tue Jul 13 2010,FC Lustenau 07,0-4,First Vienna FC,2010,Jul,13,13/Jul/2010,Tue,4,0,4,First Vienna FC
,2,Fri Jul 16 2010,FC Admira Wacker Mödling,01-Jan,FC Lustenau 07,2010,Jul,16,16/Jul/2010,Fri,2,1,1,Draw
,2,Fri Jul 16 2010,TSV Hartberg,02-Feb,SKN St. Pölten,2010,Jul,16,16/Jul/2010,Fri,4,2,2,Draw
,2,Fri Jul 16 2010,FC Gratkorn,0-5,SCR Altach,2010,Jul,16,16/Jul/2010,Fri,5,0,5,SCR Altach
,2,Fri Jul 16 2010,First Vienna FC,03-Feb,SV Grödig,2010,Jul,16,16/Jul/2010,Fri,5,3,2,First Vienna FC
,2,Fri Jul 16 2010,Austria Lustenau,0-1,Wolfsberger AC,2010,Jul,16,16/Jul/2010,Fri,1,0,1,Wolfsberger AC
,3,Fri Jul 23 2010,SKN St. Pölten,03-Jan,FC Gratkorn,2010,Jul,23,23/Jul/2010,Fri,4,3,1,SKN St. Pölten
,3,Fri Jul 23 2010,FC Admira Wacker Mödling,05-Jan,TSV Hartberg,2010,Jul,23,23/Jul/2010,Fri,6,5,1,FC Admira Wacker Mödling
,3,Fri Jul 23 2010,SCR Altach,2-0,Austria Lustenau,2010,Jul,23,23/Jul/2010,Fri,2,2,0,SCR Altach
,3,Fri Jul 23 2010,FC Lustenau 07,01-Jan,SV Grödig,2010,Jul,23,23/Jul/2010,Fri,2,1,1,Draw
,3,Fri Jul 23 2010,Wolfsberger AC,2-0,First Vienna FC,2010,Jul,23,23/Jul/2010,Fri,2,2,0,Wolfsberger AC
,4,Fri Jul 30 2010,TSV Hartberg,01-Feb,FC Lustenau 07,2010,Jul,30,30/Jul/2010,Fri,3,1,2,FC Lustenau 07
,4,Fri Jul 30 2010,FC Gratkorn,0-3,FC Admira Wacker Mödling,2010,Jul,30,30/Jul/2010,Fri,3,0,3,FC Admira Wacker Mödling
,4,Fri Jul 30 2010,Austria Lustenau,4-0,SKN St. Pölten,2010,Jul,30,30/Jul/2010,Fri,4,4,0,Austria Lustenau
,4,Fri Jul 30 2010,SV Grödig,4-0,Wolfsberger AC,2010,Jul,30,30/Jul/2010,Fri,4,4,0,SV Grödig
,4,Fri Jul 30 2010,First Vienna FC,01-Feb,SCR Altach,2010,Jul,30,30/Jul/2010,Fri,3,1,2,SCR Altach
,5,Mon Aug 2 2010,FC Admira Wacker Mödling,2-0,Austria Lustenau,2010,Aug,2,2/Aug/2010,Mon,2,2,0,FC Admira Wacker Mödling
,5,Tue Aug 3 2010,TSV Hartberg,01-Feb,FC Gratkorn,2010,Aug,3,3/Aug/2010,Tue,3,1,2,FC Gratkorn
,5,Tue Aug 3 2010,SKN St. Pölten,03-Feb,First Vienna FC,2010,Aug,3,3/Aug/2010,Tue,5,3,2,SKN St. Pölten
,5,Tue Aug 3 2010,SCR Altach,4-0,SV Grödig,2010,Aug,3,3/Aug/2010,Tue,4,4,0,SCR Altach
,5,Tue Aug 3 2010,FC Lustenau 07,02-Feb,Wolfsberger AC,2010,Aug,3,3/Aug/2010,Tue,4,2,2,Draw
,6,Fri Aug 6 2010,FC Gratkorn,0-2,FC Lustenau 07,2010,Aug,6,6/Aug/2010,Fri,2,0,2,FC Lustenau 07
,6,Fri Aug 6 2010,Austria Lustenau,1-0,TSV Hartberg,2010,Aug,6,6/Aug/2010,Fri,1,1,0,Austria Lustenau
,6,Fri Aug 6 2010,First Vienna FC,01-Mar,FC Admira Wacker Mödling,2010,Aug,6,6/Aug/2010,Fri,4,1,3,FC Admira Wacker Mödling
,6,Fri Aug 6 2010,Wolfsberger AC,03-Jan,SCR Altach,2010,Aug,6,6/Aug/2010,Fri,4,3,1,Wolfsberger AC
,6,Fri Aug 6 2010,SV Grödig,01-Jan,SKN St. Pölten,2010,Aug,6,6/Aug/2010,Fri,2,1,1,Draw
,7,Mon Aug 16 2010,FC Lustenau 07,03-Mar,SCR Altach,2010,Aug,16,16/Aug/2010,Mon,6,3,3,Draw
,7,Tue Aug 17 2010,FC Gratkorn,02-Feb,Austria Lustenau,2010,Aug,17,17/Aug/2010,Tue,4,2,2,Draw
,7,Tue Aug 17 2010,SKN St. Pölten,0-0,Wolfsberger AC,2010,Aug,17,17/Aug/2010,Tue,0,0,0,Draw
