Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Jul 16 2011,SV Mattersburg,01-Feb,SC Wiener Neustadt,2011,Jul,16,16/Jul/2011,Sat,3,1,2,SC Wiener Neustadt
1,Sat Jul 16 2011,SK Rapid Wien,2-0,FC Admira Wacker Mödling,2011,Jul,16,16/Jul/2011,Sat,2,2,0,SK Rapid Wien
1,Sat Jul 16 2011,SV Ried,01-Jan,SK Sturm Graz,2011,Jul,16,16/Jul/2011,Sat,2,1,1,Draw
1,Sat Jul 16 2011,Kapfenberger SV,02-Mar,FC Wacker Innsbruck,2011,Jul,16,16/Jul/2011,Sat,5,2,3,FC Wacker Innsbruck
1,Sun Jul 17 2011,FC RB Salzburg,2-0,FK Austria Wien,2011,Jul,17,17/Jul/2011,Sun,2,2,0,FC RB Salzburg
2,Sat Jul 23 2011,FC Admira Wacker Mödling,01-Jan,Kapfenberger SV,2011,Jul,23,23/Jul/2011,Sat,2,1,1,Draw
2,Sat Jul 23 2011,SC Wiener Neustadt,0-2,SK Rapid Wien,2011,Jul,23,23/Jul/2011,Sat,2,0,2,SK Rapid Wien
2,Sat Jul 23 2011,SK Sturm Graz,02-Feb,SV Mattersburg,2011,Jul,23,23/Jul/2011,Sat,4,2,2,Draw
2,Sun Jul 24 2011,FC Wacker Innsbruck,0-1,FC RB Salzburg,2011,Jul,24,24/Jul/2011,Sun,1,0,1,FC RB Salzburg
2,Sun Jul 24 2011,FK Austria Wien,02-Jan,SV Ried,2011,Jul,24,24/Jul/2011,Sun,3,2,1,FK Austria Wien
3,Sat Jul 30 2011,Kapfenberger SV,3-0,SK Sturm Graz,2011,Jul,30,30/Jul/2011,Sat,3,3,0,Kapfenberger SV
3,Sat Jul 30 2011,FC Admira Wacker Mödling,3-0,SC Wiener Neustadt,2011,Jul,30,30/Jul/2011,Sat,3,3,0,FC Admira Wacker Mödling
3,Sun Jul 31 2011,SK Rapid Wien,0-0,SV Ried,2011,Jul,31,31/Jul/2011,Sun,0,0,0,Draw
3,Sun Jul 31 2011,FC RB Salzburg,0-0,SV Mattersburg,2011,Jul,31,31/Jul/2011,Sun,0,0,0,Draw
3,Sun Jul 31 2011,FC Wacker Innsbruck,0-0,FK Austria Wien,2011,Jul,31,31/Jul/2011,Sun,0,0,0,Draw
4,Sat Aug 13 2011,SC Wiener Neustadt,0-0,FC Wacker Innsbruck,2011,Aug,13,13/Aug/2011,Sat,0,0,0,Draw
4,Sat Aug 13 2011,FK Austria Wien,5-0,Kapfenberger SV,2011,Aug,13,13/Aug/2011,Sat,5,5,0,FK Austria Wien
4,Sat Aug 13 2011,SK Sturm Graz,1-0,SK Rapid Wien,2011,Aug,13,13/Aug/2011,Sat,1,1,0,SK Sturm Graz
4,Sat Aug 13 2011,FC Admira Wacker Mödling,02-Jan,SV Mattersburg,2011,Aug,13,13/Aug/2011,Sat,3,2,1,FC Admira Wacker Mödling
4,Sun Aug 14 2011,SV Ried,01-Mar,FC RB Salzburg,2011,Aug,14,14/Aug/2011,Sun,4,1,3,FC RB Salzburg
5,Sat Aug 20 2011,FC Wacker Innsbruck,02-Feb,FC Admira Wacker Mödling,2011,Aug,20,20/Aug/2011,Sat,4,2,2,Draw
5,Sat Aug 20 2011,Kapfenberger SV,0-2,SC Wiener Neustadt,2011,Aug,20,20/Aug/2011,Sat,2,0,2,SC Wiener Neustadt
5,Sun Aug 21 2011,SV Mattersburg,02-Mar,SV Ried,2011,Aug,21,21/Aug/2011,Sun,5,2,3,SV Ried
5,Sun Aug 21 2011,FC RB Salzburg,01-Jan,SK Sturm Graz,2011,Aug,21,21/Aug/2011,Sun,2,1,1,Draw
5,Sun Aug 21 2011,SK Rapid Wien,0-3,FK Austria Wien,2011,Aug,21,21/Aug/2011,Sun,3,0,3,FK Austria Wien
6,Sat Aug 27 2011,SK Sturm Graz,5-0,SC Wiener Neustadt,2011,Aug,27,27/Aug/2011,Sat,5,5,0,SK Sturm Graz
6,Sat Aug 27 2011,SV Mattersburg,01-Jan,FC Wacker Innsbruck,2011,Aug,27,27/Aug/2011,Sat,2,1,1,Draw
6,Sun Aug 28 2011,SV Ried,1-0,Kapfenberger SV,2011,Aug,28,28/Aug/2011,Sun,1,1,0,SV Ried
6,Sun Aug 28 2011,FC RB Salzburg,0-0,SK Rapid Wien,2011,Aug,28,28/Aug/2011,Sun,0,0,0,Draw
6,Sun Aug 28 2011,FK Austria Wien,02-Apr,FC Admira Wacker Mödling,2011,Aug,28,28/Aug/2011,Sun,6,2,4,FC Admira Wacker Mödling
7,Sat Sep 10 2011,Kapfenberger SV,01-Mar,FC RB Salzburg,2011,Sep,10,10/Sep/2011,Sat,4,1,3,FC RB Salzburg
7,Sat Sep 10 2011,FC Admira Wacker Mödling,04-Feb,SK Sturm Graz,2011,Sep,10,10/Sep/2011,Sat,6,4,2,FC Admira Wacker Mödling
7,Sat Sep 10 2011,SK Rapid Wien,01-Jan,SV Mattersburg,2011,Sep,10,10/Sep/2011,Sat,2,1,1,Draw
7,Sat Sep 10 2011,FC Wacker Innsbruck,0-5,SV Ried,2011,Sep,10,10/Sep/2011,Sat,5,0,5,SV Ried
7,Sun Sep 11 2011,SC Wiener Neustadt,01-Jan,FK Austria Wien,2011,Sep,11,11/Sep/2011,Sun,2,1,1,Draw
8,Sat Sep 17 2011,SV Ried,01-Jan,FC Admira Wacker Mödling,2011,Sep,17,17/Sep/2011,Sat,2,1,1,Draw
8,Sat Sep 17 2011,SK Rapid Wien,05-Jan,Kapfenberger SV,2011,Sep,17,17/Sep/2011,Sat,6,5,1,SK Rapid Wien
8,Sun Sep 18 2011,SK Sturm Graz,01-Jan,FC Wacker Innsbruck,2011,Sep,18,18/Sep/2011,Sun,2,1,1,Draw
8,Sun Sep 18 2011,FC RB Salzburg,3-0,SC Wiener Neustadt,2011,Sep,18,18/Sep/2011,Sun,3,3,0,FC RB Salzburg
8,Sun Sep 18 2011,SV Mattersburg,02-Apr,FK Austria Wien,2011,Sep,18,18/Sep/2011,Sun,6,2,4,FK Austria Wien
9,Sat Sep 24 2011,FC Wacker Innsbruck,0-3,SK Rapid Wien,2011,Sep,24,24/Sep/2011,Sat,3,0,3,SK Rapid Wien
9,Sat Sep 24 2011,SC Wiener Neustadt,02-Feb,SV Ried,2011,Sep,24,24/Sep/2011,Sat,4,2,2,Draw
