Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Fri Jul 12 2013,SAK Klagenfurt,03-Jan,Union Vöcklamarkt,2013,Jul,12,12/Jul/2013,Fri,4,3,1,SAK Klagenfurt
1,Fri Jul 12 2013,SC Leopoldsdorf,01-Jan,SC-ESV Parndorf,2013,Jul,12,12/Jul/2013,Fri,2,1,1,Draw
1,Fri Jul 12 2013,FC Dornbirn 1913,01-Feb,First Vienna FC,2013,Jul,12,12/Jul/2013,Fri,3,1,2,First Vienna FC
1,Fri Jul 12 2013,DSV Leoben,02-Mar,Kapfenberger SV,2013,Jul,12,12/Jul/2013,Fri,5,2,3,Kapfenberger SV
1,Fri Jul 12 2013,SV Wals-Grünau,01-Feb,SKN St. Pölten,2013,Jul,12,12/Jul/2013,Fri,3,1,2,SKN St. Pölten
1,Fri Jul 12 2013,SV Lafnitz,0-4,SCR Altach,2013,Jul,12,12/Jul/2013,Fri,4,0,4,SCR Altach
1,Sat Jul 13 2013,SC Pinkafeld,01-Jan,TSV Neumarkt,2013,Jul,13,13/Jul/2013,Sat,2,1,1,Draw
1,Sat Jul 13 2013,Dornbirner SV,1-0,FC Kitzbühel,2013,Jul,13,13/Jul/2013,Sat,1,1,0,Dornbirner SV
1,Sat Jul 13 2013,FC Hard,01-Mar,SV Horn,2013,Jul,13,13/Jul/2013,Sat,4,1,3,SV Horn
1,Sat Jul 13 2013,SC Retz,0-0,SK Vorwärts Steyr,2013,Jul,13,13/Jul/2013,Sat,0,0,0,Draw
1,Sat Jul 13 2013,FC St. Veit,01-May,FC Lankowitz,2013,Jul,13,13/Jul/2013,Sat,6,1,5,FC Lankowitz
1,Sat Jul 13 2013,SC Schwaz,0-3,Wolfsberger AC,2013,Jul,13,13/Jul/2013,Sat,3,0,3,Wolfsberger AC
1,Sat Jul 13 2013,FC Marchfeld Donauauen,0-0,FC Gratkorn,2013,Jul,13,13/Jul/2013,Sat,0,0,0,Draw
1,Sat Jul 13 2013,TSV St. Johann,0-5,FC Pasching,2013,Jul,13,13/Jul/2013,Sat,5,0,5,FC Pasching
1,Sat Jul 13 2013,SV Stegersbach,0-2,Austria Lustenau,2013,Jul,13,13/Jul/2013,Sat,2,0,2,Austria Lustenau
1,Sat Jul 13 2013,SV Schwechat,0-3,SC Kalsdorf,2013,Jul,13,13/Jul/2013,Sat,3,0,3,SC Kalsdorf
1,Sat Jul 13 2013,1. SC Sollenau,01-Jan,Wiener Sport-Club,2013,Jul,13,13/Jul/2013,Sat,2,1,1,Draw
1,Sat Jul 13 2013,Floridsdorfer AC,03-Jan,FC Kufstein,2013,Jul,13,13/Jul/2013,Sat,4,3,1,Floridsdorfer AC
1,Sat Jul 13 2013,Austria Salzburg,0-0,SV Grödig,2013,Jul,13,13/Jul/2013,Sat,0,0,0,Draw
1,Sat Jul 13 2013,SV Oberwart,0-3,FK Austria Wien,2013,Jul,13,13/Jul/2013,Sat,3,0,3,FK Austria Wien
1,Sat Jul 13 2013,ASV Draßburg,0-3,SC Wiener Neustadt,2013,Jul,13,13/Jul/2013,Sat,3,0,3,SC Wiener Neustadt
1,Sat Jul 13 2013,Union St. Florian,0-9,FC RB Salzburg,2013,Jul,13,13/Jul/2013,Sat,9,0,9,FC RB Salzburg
1,Sat Jul 13 2013,SC Team Wiener Linien,0-5,SK Sturm Graz,2013,Jul,13,13/Jul/2013,Sat,5,0,5,SK Sturm Graz
1,Sat Jul 13 2013,ATSV Ober-Grafendorf,02-May,SKU Amstetten,2013,Jul,13,13/Jul/2013,Sat,7,2,5,SKU Amstetten
1,Sat Jul 13 2013,Austria Klagenfurt,03-Feb,Wiener Viktoria,2013,Jul,13,13/Jul/2013,Sat,5,3,2,Austria Klagenfurt
1,Sat Jul 13 2013,SW Bregenz,0-4,SV Ried,2013,Jul,13,13/Jul/2013,Sat,4,0,4,SV Ried
1,Sat Jul 13 2013,Villacher SV,04-Apr,WSG Tirol,2013,Jul,13,13/Jul/2013,Sat,8,4,4,Draw
1,Sat Jul 13 2013,SV Seekirchen,0-2,FC Admira Wacker Mödling,2013,Jul,13,13/Jul/2013,Sat,2,0,2,FC Admira Wacker Mödling
1,Sat Jul 13 2013,FC Blau-Weiß Linz,01-May,SV Mattersburg,2013,Jul,13,13/Jul/2013,Sat,6,1,5,SV Mattersburg
1,Sat Jul 13 2013,ASK Bad Vöslau,02-Mar,TSV Hartberg,2013,Jul,13,13/Jul/2013,Sat,5,2,3,TSV Hartberg
1,Sun Jul 14 2013,LASK Linz,0-0,SK Rapid Wien,2013,Jul,14,14/Jul/2013,Sun,0,0,0,Draw
1,Sun Jul 14 2013,USV Allerheiligen,01-Apr,FC Wacker Innsbruck,2013,Jul,14,14/Jul/2013,Sun,5,1,4,FC Wacker Innsbruck
2,Mon Sep 23 2013,SAK Klagenfurt,02-Feb,TSV Hartberg,2013,Sep,23,23/Sep/2013,Mon,4,2,2,Draw
2,Mon Sep 23 2013,LASK Linz,03-Apr,SKN St. Pölten,2013,Sep,23,23/Sep/2013,Mon,7,3,4,SKN St. Pölten
2,Mon Sep 23 2013,Villacher SV,0-3,Kapfenberger SV,2013,Sep,23,23/Sep/2013,Mon,3,0,3,Kapfenberger SV
2,Tue Sep 24 2013,Austria Salzburg,01-Jan,SV Mattersburg,2013,Sep,24,24/Sep/2013,Tue,2,1,1,Draw
2,Tue Sep 24 2013,Austria Klagenfurt,0-2,SC-ESV Parndorf,2013,Sep,24,24/Sep/2013,Tue,2,0,2,SC-ESV Parndorf
2,Tue Sep 24 2013,SC Kalsdorf,02-Jan,FK Austria Wien,2013,Sep,24,24/Sep/2013,Tue,3,2,1,SC Kalsdorf
2,Tue Sep 24 2013,SK Vorwärts Steyr,01-Feb,Austria Lustenau,2013,Sep,24,24/Sep/2013,Tue,3,1,2,Austria Lustenau
2,Tue Sep 24 2013,1. SC Sollenau,0-4,First Vienna FC,2013,Sep,24,24/Sep/2013,Tue,4,0,4,First Vienna FC
2,Tue Sep 24 2013,SKU Amstetten,02-Jan,SCR Altach,2013,Sep,24,24/Sep/2013,Tue,3,2,1,SKU Amstetten
2,Tue Sep 24 2013,FC Marchfeld Donauauen,04-Apr,SV Horn,2013,Sep,24,24/Sep/2013,Tue,8,4,4,Draw
2,Tue Sep 24 2013,FC Pasching,02-Jan,FC Wacker Innsbruck,2013,Sep,24,24/Sep/2013,Tue,3,2,1,FC Pasching
2,Tue Sep 24 2013,Dornbirner SV,0-2,SV Ried,2013,Sep,24,24/Sep/2013,Tue,2,0,2,SV Ried
2,Tue Sep 24 2013,SK Sturm Graz,0-0,SC Wiener Neustadt,2013,Sep,24,24/Sep/2013,Tue,0,0,0,Draw
2,Tue Sep 24 2013,SC Pinkafeld,01-Apr,Wolfsberger AC,2013,Sep,24,24/Sep/2013,Tue,5,1,4,Wolfsberger AC
2,Tue Sep 24 2013,Floridsdorfer AC,0-0,FC Admira Wacker Mödling,2013,Sep,24,24/Sep/2013,Tue,0,0,0,Draw
2,Tue Sep 24 2013,FC Lankowitz,01-Jan,FC RB Salzburg,2013,Sep,24,24/Sep/2013,Tue,2,1,1,Draw
Achtelfinale,Mon Oct 28 2013,SC Kalsdorf,0-4,SKN St. Pölten,2013,Oct,28,28/Oct/2013,Mon,4,0,4,SKN St. Pölten
Achtelfinale,Mon Oct 28 2013,SV Horn,05-Apr,SC-ESV Parndorf,2013,Oct,28,28/Oct/2013,Mon,9,5,4,SV Horn
Achtelfinale,Tue Oct 29 2013,SAK Klagenfurt,0-1,SV Ried,2013,Oct,29,29/Oct/2013,Tue,1,0,1,SV Ried
Achtelfinale,Tue Oct 29 2013,FC Pasching,02-Feb,Wolfsberger AC,2013,Oct,29,29/Oct/2013,Tue,4,2,2,Draw
Achtelfinale,Tue Oct 29 2013,FC Admira Wacker Mödling,03-Jan,First Vienna FC,2013,Oct,29,29/Oct/2013,Tue,4,3,1,FC Admira Wacker Mödling
Achtelfinale,Tue Oct 29 2013,SKU Amstetten,2-0,SV Mattersburg,2013,Oct,29,29/Oct/2013,Tue,2,2,0,SKU Amstetten
Achtelfinale,Wed Oct 30 2013,Austria Lustenau,0-4,SK Sturm Graz,2013,Oct,30,30/Oct/2013,Wed,4,0,4,SK Sturm Graz
Achtelfinale,Wed Oct 30 2013,Kapfenberger SV,01-Jul,FC RB Salzburg,2013,Oct,30,30/Oct/2013,Wed,8,1,7,FC RB Salzburg
Viertelfinale,Tue Apr 8 2014,FC Admira Wacker Mödling,0-1,SK Sturm Graz,2014,Apr,8,8/Apr/2014,Tue,1,0,1,SK Sturm Graz
Viertelfinale,Tue Apr 15 2014,SV Horn,2-0,SKU Amstetten,2014,Apr,15,15/Apr/2014,Tue,2,2,0,SV Horn
Viertelfinale,Tue Apr 15 2014,SV Ried,01-Feb,SKN St. Pölten,2014,Apr,15,15/Apr/2014,Tue,3,1,2,SKN St. Pölten
Viertelfinale,Wed Apr 16 2014,Wolfsberger AC,0-6,FC RB Salzburg,2014,Apr,16,16/Apr/2014,Wed,6,0,6,FC RB Salzburg
Halbfinale,Wed May 7 2014,SV Horn,0-7,FC RB Salzburg,2014,May,7,7/May/2014,Wed,7,0,7,FC RB Salzburg
Halbfinale,Wed May 7 2014,SKN St. Pölten,0-0,SK Sturm Graz,2014,May,7,7/May/2014,Wed,0,0,0,Draw
Finale,Sun May 18 2014,FC RB Salzburg,04-Feb,SKN St. Pölten,2014,May,18,18/May/2014,Sun,6,4,2,FC RB Salzburg
