Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Thu Aug 14 2014,USC Grafenwörth,0-2,USV Groß Gerungs,2014,Aug,14,14/Aug/2014,Thu,2,0,2,USV Groß Gerungs
1,Fri Aug 15 2014,SC St. Martin,0-1,SV Zwentendorf,2014,Aug,15,15/Aug/2014,Fri,1,0,1,SV Zwentendorf
1,Fri Aug 15 2014,USC Kirchberg/W.,0-1,USC Altenwörth,2014,Aug,15,15/Aug/2014,Fri,1,0,1,USC Altenwörth
1,Fri Aug 15 2014,SV Rehberg,01-Jan,Horn Amateure,2014,Aug,15,15/Aug/2014,Fri,2,1,1,Draw
1,Fri Aug 15 2014,SV Sieghartskirchen,04-Jan,SC Weißenkirchen,2014,Aug,15,15/Aug/2014,Fri,5,4,1,SV Sieghartskirchen
1,Sat Aug 16 2014,USV Langenlois,02-Jan,SC Guntersdorf,2014,Aug,16,16/Aug/2014,Sat,3,2,1,USV Langenlois
1,Sun Aug 17 2014,SC Echsenbach,0-2,USC Schweiggers,2014,Aug,17,17/Aug/2014,Sun,2,0,2,USC Schweiggers
2,Sat Aug 23 2014,SC Guntersdorf,4-0,USV Groß Gerungs,2014,Aug,23,23/Aug/2014,Sat,4,4,0,SC Guntersdorf
2,Sat Aug 23 2014,USC Altenwörth,2-0,SC Echsenbach,2014,Aug,23,23/Aug/2014,Sat,2,2,0,USC Altenwörth
2,Sat Aug 23 2014,Horn Amateure,02-Mar,SV Sieghartskirchen,2014,Aug,23,23/Aug/2014,Sat,5,2,3,SV Sieghartskirchen
2,Sat Aug 23 2014,USV Langenlois,03-Jan,USC Kirchberg/W.,2014,Aug,23,23/Aug/2014,Sat,4,3,1,USV Langenlois
2,Sat Aug 23 2014,USC Schweiggers,01-Feb,SV Rehberg,2014,Aug,23,23/Aug/2014,Sat,3,1,2,SV Rehberg
2,Sun Aug 24 2014,SC Weißenkirchen,08-Feb,SC St. Martin,2014,Aug,24,24/Aug/2014,Sun,10,8,2,SC Weißenkirchen
2,Sun Aug 24 2014,SV Zwentendorf,0-4,USC Grafenwörth,2014,Aug,24,24/Aug/2014,Sun,4,0,4,USC Grafenwörth
3,Fri Aug 29 2014,USC Kirchberg/W.,0-2,SC Guntersdorf,2014,Aug,29,29/Aug/2014,Fri,2,0,2,SC Guntersdorf
3,Fri Aug 29 2014,USC Grafenwörth,1-0,SC Weißenkirchen,2014,Aug,29,29/Aug/2014,Fri,1,1,0,USC Grafenwörth
3,Fri Aug 29 2014,SV Sieghartskirchen,02-Jan,USC Schweiggers,2014,Aug,29,29/Aug/2014,Fri,3,2,1,SV Sieghartskirchen
3,Sat Aug 30 2014,SC St. Martin,2-0,Horn Amateure,2014,Aug,30,30/Aug/2014,Sat,2,2,0,SC St. Martin
3,Sat Aug 30 2014,SV Rehberg,1-0,USC Altenwörth,2014,Aug,30,30/Aug/2014,Sat,1,1,0,SV Rehberg
3,Sun Aug 31 2014,USV Groß Gerungs,01-Jan,SV Zwentendorf,2014,Aug,31,31/Aug/2014,Sun,2,1,1,Draw
3,Sun Aug 31 2014,SC Echsenbach,02-Feb,USV Langenlois,2014,Aug,31,31/Aug/2014,Sun,4,2,2,Draw
4,Fri Sep 5 2014,Horn Amateure,0-7,USC Grafenwörth,2014,Sep,5,5/Sep/2014,Fri,7,0,7,USC Grafenwörth
4,Fri Sep 5 2014,USC Kirchberg/W.,01-Jan,SC Echsenbach,2014,Sep,5,5/Sep/2014,Fri,2,1,1,Draw
4,Sat Sep 6 2014,USC Altenwörth,1-0,SV Sieghartskirchen,2014,Sep,6,6/Sep/2014,Sat,1,1,0,USC Altenwörth
4,Sat Sep 6 2014,USV Langenlois,02-Apr,SV Rehberg,2014,Sep,6,6/Sep/2014,Sat,6,2,4,SV Rehberg
4,Sat Sep 6 2014,USC Schweiggers,0-3,SC St. Martin,2014,Sep,6,6/Sep/2014,Sat,3,0,3,SC St. Martin
4,Sun Sep 7 2014,SC Guntersdorf,03-Jan,SV Zwentendorf,2014,Sep,7,7/Sep/2014,Sun,4,3,1,SC Guntersdorf
4,Sun Sep 7 2014,SC Weißenkirchen,0-1,USV Groß Gerungs,2014,Sep,7,7/Sep/2014,Sun,1,0,1,USV Groß Gerungs
5,Fri Sep 12 2014,USV Groß Gerungs,01-Feb,Horn Amateure,2014,Sep,12,12/Sep/2014,Fri,3,1,2,Horn Amateure
5,Fri Sep 12 2014,SV Sieghartskirchen,04-Jan,USV Langenlois,2014,Sep,12,12/Sep/2014,Fri,5,4,1,SV Sieghartskirchen
5,Fri Sep 12 2014,USC Grafenwörth,3-0,USC Schweiggers,2014,Sep,12,12/Sep/2014,Fri,3,3,0,USC Grafenwörth
5,Sat Sep 13 2014,SC St. Martin,01-Jan,USC Altenwörth,2014,Sep,13,13/Sep/2014,Sat,2,1,1,Draw
5,Sat Sep 13 2014,SV Zwentendorf,03-Mar,SC Weißenkirchen,2014,Sep,13,13/Sep/2014,Sat,6,3,3,Draw
5,Sat Sep 13 2014,SV Rehberg,4-0,USC Kirchberg/W.,2014,Sep,13,13/Sep/2014,Sat,4,4,0,SV Rehberg
5,Sun Sep 14 2014,SC Echsenbach,01-Apr,SC Guntersdorf,2014,Sep,14,14/Sep/2014,Sun,5,1,4,SC Guntersdorf
6,Fri Sep 19 2014,USC Kirchberg/W.,02-Jan,SV Sieghartskirchen,2014,Sep,19,19/Sep/2014,Fri,3,2,1,USC Kirchberg/W.
6,Sat Sep 20 2014,SC Guntersdorf,02-Jan,SC Weißenkirchen,2014,Sep,20,20/Sep/2014,Sat,3,2,1,SC Guntersdorf
