Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
Europa League Play-off,Halbfinale,Mon Jul 8 2019,FK Austria Wien,1-0,SCR Altach,2019,Jul,8,8/Jul/2019,Mon,1,1,0,FK Austria Wien
Europa League Play-off,Finale,Thu Jul 11 2019,FK Austria Wien,02-Mar,TSV Hartberg,2019,Jul,11,11/Jul/2019,Thu,5,2,3,TSV Hartberg
Europa League Play-off,Finale,Mon Jul 15 2019,TSV Hartberg,0-0,FK Austria Wien,2019,Jul,15,15/Jul/2019,Mon,0,0,0,Draw
Grunddurchgang,1,Fri Jul 26 2019,SK Rapid Wien,0-2,FC RB Salzburg,2019,Jul,26,26/Jul/2019,Fri,2,0,2,FC RB Salzburg
Grunddurchgang,1,Sat Jul 27 2019,FC Admira Wacker Mödling,0-3,Wolfsberger AC,2019,Jul,27,27/Jul/2019,Sat,3,0,3,Wolfsberger AC
Grunddurchgang,1,Sat Jul 27 2019,WSG Tirol,03-Jan,FK Austria Wien,2019,Jul,27,27/Jul/2019,Sat,4,3,1,WSG Tirol
Grunddurchgang,1,Sun Jul 28 2019,SK Sturm Graz,3-0,SKN St. Pölten,2019,Jul,28,28/Jul/2019,Sun,3,3,0,SK Sturm Graz
Grunddurchgang,1,Sun Jul 28 2019,LASK Linz,2-0,SCR Altach,2019,Jul,28,28/Jul/2019,Sun,2,2,0,LASK Linz
Grunddurchgang,1,Sun Jul 28 2019,SV Mattersburg,02-Jan,TSV Hartberg,2019,Jul,28,28/Jul/2019,Sun,3,2,1,SV Mattersburg
Grunddurchgang,2,Sat Aug 3 2019,TSV Hartberg,04-Jan,FC Admira Wacker Mödling,2019,Aug,3,3/Aug/2019,Sat,5,4,1,TSV Hartberg
Grunddurchgang,2,Sat Aug 3 2019,FK Austria Wien,0-3,LASK Linz,2019,Aug,3,3/Aug/2019,Sat,3,0,3,LASK Linz
Grunddurchgang,2,Sat Aug 3 2019,SCR Altach,03-Feb,WSG Tirol,2019,Aug,3,3/Aug/2019,Sat,5,3,2,SCR Altach
Grunddurchgang,2,Sun Aug 4 2019,FC RB Salzburg,04-Jan,SV Mattersburg,2019,Aug,4,4/Aug/2019,Sun,5,4,1,FC RB Salzburg
Grunddurchgang,2,Sun Aug 4 2019,Wolfsberger AC,0-1,SK Sturm Graz,2019,Aug,4,4/Aug/2019,Sun,1,0,1,SK Sturm Graz
Grunddurchgang,2,Sun Aug 4 2019,SKN St. Pölten,02-Feb,SK Rapid Wien,2019,Aug,4,4/Aug/2019,Sun,4,2,2,Draw
Grunddurchgang,3,Sat Aug 10 2019,SK Rapid Wien,02-Jan,SCR Altach,2019,Aug,10,10/Aug/2019,Sat,3,2,1,SK Rapid Wien
Grunddurchgang,3,Sat Aug 10 2019,FC Admira Wacker Mödling,0-1,LASK Linz,2019,Aug,10,10/Aug/2019,Sat,1,0,1,LASK Linz
Grunddurchgang,3,Sat Aug 10 2019,FC RB Salzburg,05-Feb,Wolfsberger AC,2019,Aug,10,10/Aug/2019,Sat,7,5,2,FC RB Salzburg
Grunddurchgang,3,Sun Aug 11 2019,WSG Tirol,01-Jan,SKN St. Pölten,2019,Aug,11,11/Aug/2019,Sun,2,1,1,Draw
Grunddurchgang,3,Sun Aug 11 2019,SV Mattersburg,01-May,FK Austria Wien,2019,Aug,11,11/Aug/2019,Sun,6,1,5,FK Austria Wien
Grunddurchgang,3,Sun Aug 11 2019,TSV Hartberg,1-0,SK Sturm Graz,2019,Aug,11,11/Aug/2019,Sun,1,1,0,TSV Hartberg
Grunddurchgang,4,Sat Aug 17 2019,Wolfsberger AC,5-0,SV Mattersburg,2019,Aug,17,17/Aug/2019,Sat,5,5,0,Wolfsberger AC
Grunddurchgang,4,Sat Aug 17 2019,LASK Linz,01-Jan,WSG Tirol,2019,Aug,17,17/Aug/2019,Sat,2,1,1,Draw
Grunddurchgang,4,Sat Aug 17 2019,SKN St. Pölten,0-6,FC RB Salzburg,2019,Aug,17,17/Aug/2019,Sat,6,0,6,FC RB Salzburg
Grunddurchgang,4,Sun Aug 18 2019,FK Austria Wien,01-Jan,FC Admira Wacker Mödling,2019,Aug,18,18/Aug/2019,Sun,2,1,1,Draw
Grunddurchgang,4,Sun Aug 18 2019,SCR Altach,03-Mar,TSV Hartberg,2019,Aug,18,18/Aug/2019,Sun,6,3,3,Draw
Grunddurchgang,4,Sun Aug 18 2019,SK Sturm Graz,0-1,SK Rapid Wien,2019,Aug,18,18/Aug/2019,Sun,1,0,1,SK Rapid Wien
Grunddurchgang,5,Sat Aug 24 2019,Wolfsberger AC,05-Feb,SCR Altach,2019,Aug,24,24/Aug/2019,Sat,7,5,2,Wolfsberger AC
Grunddurchgang,5,Sat Aug 24 2019,SK Rapid Wien,01-Feb,LASK Linz,2019,Aug,24,24/Aug/2019,Sat,3,1,2,LASK Linz
Grunddurchgang,5,Sat Aug 24 2019,SV Mattersburg,0-1,SKN St. Pölten,2019,Aug,24,24/Aug/2019,Sat,1,0,1,SKN St. Pölten
Grunddurchgang,5,Sun Aug 25 2019,TSV Hartberg,02-Feb,FK Austria Wien,2019,Aug,25,25/Aug/2019,Sun,4,2,2,Draw
Grunddurchgang,5,Sun Aug 25 2019,SK Sturm Graz,2-0,WSG Tirol,2019,Aug,25,25/Aug/2019,Sun,2,2,0,SK Sturm Graz
Grunddurchgang,5,Sun Aug 25 2019,FC RB Salzburg,5-0,FC Admira Wacker Mödling,2019,Aug,25,25/Aug/2019,Sun,5,5,0,FC RB Salzburg
Grunddurchgang,6,Sat Aug 31 2019,LASK Linz,0-1,Wolfsberger AC,2019,Aug,31,31/Aug/2019,Sat,1,0,1,Wolfsberger AC
Grunddurchgang,6,Sat Aug 31 2019,FC Admira Wacker Mödling,01-Mar,SV Mattersburg,2019,Aug,31,31/Aug/2019,Sat,4,1,3,SV Mattersburg
Grunddurchgang,6,Sat Aug 31 2019,WSG Tirol,01-May,FC RB Salzburg,2019,Aug,31,31/Aug/2019,Sat,6,1,5,FC RB Salzburg
Grunddurchgang,6,Sun Sep 1 2019,SCR Altach,01-Feb,SK Sturm Graz,2019,Sep,1,1/Sep/2019,Sun,3,1,2,SK Sturm Graz
Grunddurchgang,6,Sun Sep 1 2019,SKN St. Pölten,01-Mar,TSV Hartberg,2019,Sep,1,1/Sep/2019,Sun,4,1,3,TSV Hartberg
Grunddurchgang,6,Sun Sep 1 2019,FK Austria Wien,01-Mar,SK Rapid Wien,2019,Sep,1,1/Sep/2019,Sun,4,1,3,SK Rapid Wien
Grunddurchgang,7,Sat Sep 14 2019,SK Sturm Graz,0-2,LASK Linz,2019,Sep,14,14/Sep/2019,Sat,2,0,2,LASK Linz
Grunddurchgang,7,Sat Sep 14 2019,SV Mattersburg,0-2,WSG Tirol,2019,Sep,14,14/Sep/2019,Sat,2,0,2,WSG Tirol
Grunddurchgang,7,Sat Sep 14 2019,FC RB Salzburg,07-Feb,TSV Hartberg,2019,Sep,14,14/Sep/2019,Sat,9,7,2,FC RB Salzburg
Grunddurchgang,7,Sun Sep 15 2019,SCR Altach,6-0,SKN St. Pölten,2019,Sep,15,15/Sep/2019,Sun,6,6,0,SCR Altach
Grunddurchgang,7,Sun Sep 15 2019,SK Rapid Wien,5-0,FC Admira Wacker Mödling,2019,Sep,15,15/Sep/2019,Sun,5,5,0,SK Rapid Wien
Grunddurchgang,7,Sun Sep 15 2019,Wolfsberger AC,3-0,FK Austria Wien,2019,Sep,15,15/Sep/2019,Sun,3,3,0,Wolfsberger AC
Grunddurchgang,8,Sat Sep 21 2019,FC Admira Wacker Mödling,01-Jan,SKN St. Pölten,2019,Sep,21,21/Sep/2019,Sat,2,1,1,Draw
Grunddurchgang,8,Sat Sep 21 2019,WSG Tirol,0-2,SK Rapid Wien,2019,Sep,21,21/Sep/2019,Sat,2,0,2,SK Rapid Wien
Grunddurchgang,8,Sat Sep 21 2019,SV Mattersburg,03-Mar,SK Sturm Graz,2019,Sep,21,21/Sep/2019,Sat,6,3,3,Draw
Grunddurchgang,8,Sun Sep 22 2019,FK Austria Wien,2-0,SCR Altach,2019,Sep,22,22/Sep/2019,Sun,2,2,0,FK Austria Wien
Grunddurchgang,8,Sun Sep 22 2019,TSV Hartberg,0-2,Wolfsberger AC,2019,Sep,22,22/Sep/2019,Sun,2,0,2,Wolfsberger AC
Grunddurchgang,8,Sun Sep 22 2019,LASK Linz,02-Feb,FC RB Salzburg,2019,Sep,22,22/Sep/2019,Sun,4,2,2,Draw
Grunddurchgang,9,Sat Sep 28 2019,SKN St. Pölten,0-3,LASK Linz,2019,Sep,28,28/Sep/2019,Sat,3,0,3,LASK Linz
Grunddurchgang,9,Sat Sep 28 2019,FC RB Salzburg,04-Jan,FK Austria Wien,2019,Sep,28,28/Sep/2019,Sat,5,4,1,FC RB Salzburg
Grunddurchgang,9,Sat Sep 28 2019,Wolfsberger AC,02-Feb,WSG Tirol,2019,Sep,28,28/Sep/2019,Sat,4,2,2,Draw
Grunddurchgang,9,Sun Sep 29 2019,SK Sturm Graz,04-Jan,FC Admira Wacker Mödling,2019,Sep,29,29/Sep/2019,Sun,5,4,1,SK Sturm Graz
Grunddurchgang,9,Sun Sep 29 2019,SCR Altach,0-2,SV Mattersburg,2019,Sep,29,29/Sep/2019,Sun,2,0,2,SV Mattersburg
Grunddurchgang,9,Sun Sep 29 2019,SK Rapid Wien,03-Mar,TSV Hartberg,2019,Sep,29,29/Sep/2019,Sun,6,3,3,Draw
Grunddurchgang,10,Sat Oct 5 2019,FC Admira Wacker Mödling,03-Jan,WSG Tirol,2019,Oct,5,5/Oct/2019,Sat,4,3,1,FC Admira Wacker Mödling
Grunddurchgang,10,Sat Oct 5 2019,FC RB Salzburg,6-0,SCR Altach,2019,Oct,5,5/Oct/2019,Sat,6,6,0,FC RB Salzburg
Grunddurchgang,10,Sat Oct 5 2019,SV Mattersburg,02-Mar,SK Rapid Wien,2019,Oct,5,5/Oct/2019,Sat,5,2,3,SK Rapid Wien
Grunddurchgang,10,Sun Oct 6 2019,TSV Hartberg,01-Feb,LASK Linz,2019,Oct,6,6/Oct/2019,Sun,3,1,2,LASK Linz
Grunddurchgang,10,Sun Oct 6 2019,Wolfsberger AC,4-0,SKN St. Pölten,2019,Oct,6,6/Oct/2019,Sun,4,4,0,Wolfsberger AC
Grunddurchgang,10,Sun Oct 6 2019,FK Austria Wien,1-0,SK Sturm Graz,2019,Oct,6,6/Oct/2019,Sun,1,1,0,FK Austria Wien
Grunddurchgang,11,Sat Oct 19 2019,SCR Altach,01-Apr,FC Admira Wacker Mödling,2019,Oct,19,19/Oct/2019,Sat,5,1,4,FC Admira Wacker Mödling
Grunddurchgang,11,Sat Oct 19 2019,LASK Linz,07-Feb,SV Mattersburg,2019,Oct,19,19/Oct/2019,Sat,9,7,2,LASK Linz
Grunddurchgang,11,Sat Oct 19 2019,SK Sturm Graz,01-Jan,FC RB Salzburg,2019,Oct,19,19/Oct/2019,Sat,2,1,1,Draw
Grunddurchgang,11,Sun Oct 20 2019,SKN St. Pölten,02-Feb,FK Austria Wien,2019,Oct,20,20/Oct/2019,Sun,4,2,2,Draw
Grunddurchgang,11,Sun Oct 20 2019,WSG Tirol,0-1,TSV Hartberg,2019,Oct,20,20/Oct/2019,Sun,1,0,1,TSV Hartberg
Grunddurchgang,11,Sun Oct 20 2019,SK Rapid Wien,01-Jan,Wolfsberger AC,2019,Oct,20,20/Oct/2019,Sun,2,1,1,Draw
Grunddurchgang,12,Sat Oct 26 2019,SKN St. Pölten,0-4,SK Sturm Graz,2019,Oct,26,26/Oct/2019,Sat,4,0,4,SK Sturm Graz
Grunddurchgang,12,Sat Oct 26 2019,FK Austria Wien,02-Mar,WSG Tirol,2019,Oct,26,26/Oct/2019,Sat,5,2,3,WSG Tirol
Grunddurchgang,12,Sat Oct 26 2019,TSV Hartberg,03-Jan,SV Mattersburg,2019,Oct,26,26/Oct/2019,Sat,4,3,1,TSV Hartberg
Grunddurchgang,12,Sun Oct 27 2019,Wolfsberger AC,02-Feb,FC Admira Wacker Mödling,2019,Oct,27,27/Oct/2019,Sun,4,2,2,Draw
Grunddurchgang,12,Sun Oct 27 2019,SCR Altach,0-1,LASK Linz,2019,Oct,27,27/Oct/2019,Sun,1,0,1,LASK Linz
Grunddurchgang,12,Sun Oct 27 2019,FC RB Salzburg,03-Feb,SK Rapid Wien,2019,Oct,27,27/Oct/2019,Sun,5,3,2,FC RB Salzburg
Grunddurchgang,13,Sat Nov 2 2019,SK Sturm Graz,0-4,Wolfsberger AC,2019,Nov,2,2/Nov/2019,Sat,4,0,4,Wolfsberger AC
Grunddurchgang,13,Sat Nov 2 2019,SK Rapid Wien,0-1,SKN St. Pölten,2019,Nov,2,2/Nov/2019,Sat,1,0,1,SKN St. Pölten
Grunddurchgang,13,Sat Nov 2 2019,SV Mattersburg,0-3,FC RB Salzburg,2019,Nov,2,2/Nov/2019,Sat,3,0,3,FC RB Salzburg
Grunddurchgang,13,Sun Nov 3 2019,FC Admira Wacker Mödling,0-1,TSV Hartberg,2019,Nov,3,3/Nov/2019,Sun,1,0,1,TSV Hartberg
Grunddurchgang,13,Sun Nov 3 2019,WSG Tirol,0-4,SCR Altach,2019,Nov,3,3/Nov/2019,Sun,4,0,4,SCR Altach
Grunddurchgang,13,Sun Nov 3 2019,LASK Linz,2-0,FK Austria Wien,2019,Nov,3,3/Nov/2019,Sun,2,2,0,LASK Linz
Grunddurchgang,14,Sat Nov 9 2019,SKN St. Pölten,05-Jan,WSG Tirol,2019,Nov,9,9/Nov/2019,Sat,6,5,1,SKN St. Pölten
Grunddurchgang,14,Sat Nov 9 2019,SCR Altach,0-3,SK Rapid Wien,2019,Nov,9,9/Nov/2019,Sat,3,0,3,SK Rapid Wien
Grunddurchgang,14,Sat Nov 9 2019,SK Sturm Graz,03-Jan,TSV Hartberg,2019,Nov,9,9/Nov/2019,Sat,4,3,1,SK Sturm Graz
Grunddurchgang,14,Sun Nov 10 2019,FK Austria Wien,02-Jan,SV Mattersburg,2019,Nov,10,10/Nov/2019,Sun,3,2,1,FK Austria Wien
Grunddurchgang,14,Sun Nov 10 2019,LASK Linz,1-0,FC Admira Wacker Mödling,2019,Nov,10,10/Nov/2019,Sun,1,1,0,LASK Linz
Grunddurchgang,14,Sun Nov 10 2019,Wolfsberger AC,0-3,FC RB Salzburg,2019,Nov,10,10/Nov/2019,Sun,3,0,3,FC RB Salzburg
Grunddurchgang,15,Sat Nov 23 2019,SV Mattersburg,01-Apr,Wolfsberger AC,2019,Nov,23,23/Nov/2019,Sat,5,1,4,Wolfsberger AC
Grunddurchgang,15,Sat Nov 23 2019,WSG Tirol,0-2,LASK Linz,2019,Nov,23,23/Nov/2019,Sat,2,0,2,LASK Linz
Grunddurchgang,15,Sat Nov 23 2019,FC RB Salzburg,02-Feb,SKN St. Pölten,2019,Nov,23,23/Nov/2019,Sat,4,2,2,Draw
Grunddurchgang,15,Sun Nov 24 2019,FC Admira Wacker Mödling,0-0,FK Austria Wien,2019,Nov,24,24/Nov/2019,Sun,0,0,0,Draw
Grunddurchgang,15,Sun Nov 24 2019,TSV Hartberg,02-Jan,SCR Altach,2019,Nov,24,24/Nov/2019,Sun,3,2,1,TSV Hartberg
Grunddurchgang,15,Sun Nov 24 2019,SK Rapid Wien,01-Jan,SK Sturm Graz,2019,Nov,24,24/Nov/2019,Sun,2,1,1,Draw
Grunddurchgang,16,Sat Nov 30 2019,WSG Tirol,01-May,SK Sturm Graz,2019,Nov,30,30/Nov/2019,Sat,6,1,5,SK Sturm Graz
Grunddurchgang,16,Sat Nov 30 2019,FK Austria Wien,5-0,TSV Hartberg,2019,Nov,30,30/Nov/2019,Sat,5,5,0,FK Austria Wien
