Country,Stage,Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Goals,Team 1 Goals,Team 2 Goals,Result,,
Belgium,Regular Season,1,Fri Jul 27 2018,Standard Liège,3-2,KAA Gent,2018,Jul,27,27/Jul/2018,Fri,5,3,2,Standard Liège,,
Belgium,Regular Season,1,Sat Jul 28 2018,KV Kortrijk,1-4,RSC Anderlecht,2018,Jul,28,28/Jul/2018,Sat,5,1,4,RSC Anderlecht,,
Belgium,Regular Season,1,Sat Jul 28 2018,SV Zulte Waregem,2-2,Waasland-Beveren,2018,Jul,28,28/Jul/2018,Sat,4,2,2,Draw,,
Belgium,Regular Season,1,Sat Jul 28 2018,KV Oostende,2-1,Royal Excel Mouscron,2018,Jul,28,28/Jul/2018,Sat,3,2,1,KV Oostende,,
Belgium,Regular Season,1,Sat Jul 28 2018,Sint-Truidense VV,0-0,Cercle Brugge,2018,Jul,28,28/Jul/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,1,Sun Jul 29 2018,Club Brugge,5-2,KAS Eupen,2018,Jul,29,29/Jul/2018,Sun,7,5,2,Club Brugge,,
Belgium,Regular Season,1,Sun Jul 29 2018,KSC Lokeren OV,0-4,KRC Genk,2018,Jul,29,29/Jul/2018,Sun,4,0,4,KRC Genk,,
Belgium,Regular Season,1,Sun Jul 29 2018,Sporting Charleroi,0-1,Royal Antwerp FC,2018,Jul,29,29/Jul/2018,Sun,1,0,1,Royal Antwerp FC,,
Belgium,Regular Season,2,Fri Aug 3 2018,Waasland-Beveren,0-0,Standard Liège,2018,Aug,3,3/Aug/2018,Fri,0,0,0,Draw,,
Belgium,Regular Season,2,Sat Aug 4 2018,Cercle Brugge,3-2,KSC Lokeren OV,2018,Aug,4,4/Aug/2018,Sat,5,3,2,Cercle Brugge,,
Belgium,Regular Season,2,Sat Aug 4 2018,KAS Eupen,1-4,Sporting Charleroi,2018,Aug,4,4/Aug/2018,Sat,5,1,4,Sporting Charleroi,,
Belgium,Regular Season,2,Sat Aug 4 2018,KAA Gent,1-1,SV Zulte Waregem,2018,Aug,4,4/Aug/2018,Sat,2,1,1,Draw,,
Belgium,Regular Season,2,Sat Aug 4 2018,Royal Antwerp FC,0-0,KV Kortrijk,2018,Aug,4,4/Aug/2018,Sat,0,0,0,Draw,,
Belgium,Regular Season,2,Sun Aug 5 2018,RSC Anderlecht,5-2,KV Oostende,2018,Aug,5,5/Aug/2018,Sun,7,5,2,RSC Anderlecht,,
Belgium,Regular Season,2,Sun Aug 5 2018,KRC Genk,1-1,Sint-Truidense VV,2018,Aug,5,5/Aug/2018,Sun,2,1,1,Draw,,
