Stage,Round,Date,Team 1,FT,Team 2
Regular Season,1,Fri Jul 26 2019,KRC Genk,02-Jan,KV Kortrijk
Regular Season,1,Sat Jul 27 2019,Cercle Brugge,0-2,Standard Liège
Regular Season,1,Sat Jul 27 2019,Sint-Truidense VV,0-1,Royal Excel Mouscron
Regular Season,1,Sat Jul 27 2019,Waasland-Beveren,01-Mar,Club Brugge
Regular Season,1,Sat Jul 27 2019,SV Zulte Waregem,0-2,KV Mechelen
Regular Season,1,Sun Jul 28 2019,RSC Anderlecht,01-Feb,KV Oostende
Regular Season,1,Sun Jul 28 2019,Sporting Charleroi,01-Jan,KAA Gent
Regular Season,1,Sun Jul 28 2019,KAS Eupen,01-Apr,Royal Antwerp FC
Regular Season,2,Fri Aug 2 2019,Club Brugge,6-0,Sint-Truidense VV
Regular Season,2,Sat Aug 3 2019,Standard Liège,4-0,SV Zulte Waregem
Regular Season,2,Sat Aug 3 2019,KV Kortrijk,01-Jan,Sporting Charleroi
Regular Season,2,Sat Aug 3 2019,KV Mechelen,03-Jan,KRC Genk
Regular Season,2,Sat Aug 3 2019,KV Oostende,03-Jan,Cercle Brugge
Regular Season,2,Sun Aug 4 2019,KAA Gent,06-Jan,KAS Eupen
Regular Season,2,Sun Aug 4 2019,Royal Excel Mouscron,0-0,RSC Anderlecht
Regular Season,2,Sun Aug 4 2019,Royal Antwerp FC,04-Jan,Waasland-Beveren
Regular Season,3,Fri Aug 9 2019,RSC Anderlecht,0-0,KV Mechelen
Regular Season,3,Sat Aug 10 2019,KV Oostende,0-2,Club Brugge
Regular Season,3,Sat Aug 10 2019,KAS Eupen,01-Jan,Waasland-Beveren
Regular Season,3,Sat Aug 10 2019,KRC Genk,0-2,SV Zulte Waregem
Regular Season,3,Sat Aug 10 2019,Cercle Brugge,01-Mar,KV Kortrijk
Regular Season,3,Sun Aug 11 2019,Sint-Truidense VV,02-Jan,Standard Liège
Regular Season,3,Sun Aug 11 2019,Sporting Charleroi,02-Jan,Royal Antwerp FC
Regular Season,3,Sun Aug 11 2019,Royal Excel Mouscron,02-Jan,KAA Gent
Regular Season,4,Fri Aug 16 2019,Club Brugge,0-0,KAS Eupen
Regular Season,4,Sat Aug 17 2019,KV Kortrijk,04-Feb,RSC Anderlecht
Regular Season,4,Sat Aug 17 2019,KV Mechelen,03-Jan,Cercle Brugge
Regular Season,4,Sat Aug 17 2019,Waasland-Beveren,0-4,KRC Genk
Regular Season,4,Sun Aug 18 2019,Standard Liège,04-Jan,Royal Excel Mouscron
Regular Season,4,Sun Aug 18 2019,KAA Gent,2-0,KV Oostende
Regular Season,4,Sun Aug 18 2019,Royal Antwerp FC,2-0,Sint-Truidense VV
Regular Season,4,Mon Aug 19 2019,SV Zulte Waregem,03-Jan,Sporting Charleroi
Regular Season,5,Fri Aug 23 2019,KRC Genk,1-0,RSC Anderlecht
Regular Season,5,Sat Aug 24 2019,Cercle Brugge,1-0,Waasland-Beveren
