Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Sep 12 2020,Barrow AFC,01-Jan,Stevenage FC,2020,Sep,12,12/Sep/2020,Sat,2,1,1,Draw
1,Sat Sep 12 2020,Bolton Wanderers FC,0-1,Forest Green Rovers FC,2020,Sep,12,12/Sep/2020,Sat,1,0,1,Forest Green Rovers FC
1,Sat Sep 12 2020,Bradford City AFC,0-0,Colchester United FC,2020,Sep,12,12/Sep/2020,Sat,0,0,0,Draw
1,Sat Sep 12 2020,Cambridge United FC,3-0,Carlisle United FC,2020,Sep,12,12/Sep/2020,Sat,3,3,0,Cambridge United FC
1,Sat Sep 12 2020,Cheltenham Town FC,01-Feb,Morecambe FC,2020,Sep,12,12/Sep/2020,Sat,3,1,2,Morecambe FC
1,Sat Sep 12 2020,Walsall FC,1-0,Grimsby Town FC,2020,Sep,12,12/Sep/2020,Sat,1,1,0,Walsall FC
1,Sat Sep 12 2020,Mansfield Town FC,0-0,Tranmere Rovers FC,2020,Sep,12,12/Sep/2020,Sat,0,0,0,Draw
1,Sat Sep 12 2020,Oldham Athletic AFC,0-1,Leyton Orient FC,2020,Sep,12,12/Sep/2020,Sat,1,0,1,Leyton Orient FC
1,Sat Sep 12 2020,Port Vale FC,2-0,Crawley Town FC,2020,Sep,12,12/Sep/2020,Sat,2,2,0,Port Vale FC
1,Sat Sep 12 2020,Salford City FC,02-Feb,Exeter City FC,2020,Sep,12,12/Sep/2020,Sat,4,2,2,Draw
1,Sat Sep 12 2020,Scunthorpe United FC,01-Jan,Newport County AFC,2020,Sep,12,12/Sep/2020,Sat,2,1,1,Draw
1,Sat Sep 12 2020,Southend United FC,0-4,Harrogate Town AFC,2020,Sep,12,12/Sep/2020,Sat,4,0,4,Harrogate Town AFC
2,Sat Sep 19 2020,Carlisle United FC,2-0,Southend United FC,2020,Sep,19,19/Sep/2020,Sat,2,2,0,Carlisle United FC
2,Sat Sep 19 2020,Colchester United FC,2-0,Bolton Wanderers FC,2020,Sep,19,19/Sep/2020,Sat,2,2,0,Colchester United FC
2,Sat Sep 19 2020,Crawley Town FC,1-0,Scunthorpe United FC,2020,Sep,19,19/Sep/2020,Sat,1,1,0,Crawley Town FC
2,Sat Sep 19 2020,Exeter City FC,0-2,Port Vale FC,2020,Sep,19,19/Sep/2020,Sat,2,0,2,Port Vale FC
2,Sat Sep 19 2020,Morecambe FC,0-5,Cambridge United FC,2020,Sep,19,19/Sep/2020,Sat,5,0,5,Cambridge United FC
2,Sat Sep 19 2020,Stevenage FC,3-0,Oldham Athletic AFC,2020,Sep,19,19/Sep/2020,Sat,3,3,0,Stevenage FC
2,Sat Sep 19 2020,Forest Green Rovers FC,02-Feb,Bradford City AFC,2020,Sep,19,19/Sep/2020,Sat,4,2,2,Draw
2,Sat Sep 19 2020,Grimsby Town FC,0-4,Salford City FC,2020,Sep,19,19/Sep/2020,Sat,4,0,4,Salford City FC
2,Sat Sep 19 2020,Harrogate Town AFC,02-Feb,Walsall FC,2020,Sep,19,19/Sep/2020,Sat,4,2,2,Draw
