Round,Date,Team 1,FT,Team 2,Year,Month,Day,Date,DayOfWeek,Total Goals,Team 1 Goals,Team 2 Goals,Result
1,Sat Aug 17 2019,CD Lugo,0-0,Extremadura UD,2019,Aug,17,17/Aug/2019,Sat,0,0,0,Draw
1,Sat Aug 17 2019,Real Racing Santander,0-1,Málaga CF,2019,Aug,17,17/Aug/2019,Sat,1,0,1,Málaga CF
1,Sat Aug 17 2019,UD Almería,3-0,Albacete Balompié,2019,Aug,17,17/Aug/2019,Sat,3,3,0,UD Almería
1,Sat Aug 17 2019,Elche CF,0-2,CF Fuenlabrada,2019,Aug,17,17/Aug/2019,Sat,2,0,2,CF Fuenlabrada
1,Sat Aug 17 2019,Rayo Vallecano,02-Feb,CD Mirandés,2019,Aug,17,17/Aug/2019,Sat,4,2,2,Draw
1,Sat Aug 17 2019,Real Zaragoza,2-0,CD Tenerife,2019,Aug,17,17/Aug/2019,Sat,2,2,0,Real Zaragoza
1,Sun Aug 18 2019,RCD La Coruña,03-Feb,Real Oviedo,2019,Aug,18,18/Aug/2019,Sun,5,3,2,RCD La Coruña
1,Sun Aug 18 2019,CD Numancia,0-1,AD Alcorcón,2019,Aug,18,18/Aug/2019,Sun,1,0,1,AD Alcorcón
1,Sun Aug 18 2019,Girona FC,01-Jan,Sporting Gijón,2019,Aug,18,18/Aug/2019,Sun,2,1,1,Draw
1,Sun Aug 18 2019,Cádiz CF,03-Jan,SD Ponferradina,2019,Aug,18,18/Aug/2019,Sun,4,3,1,Cádiz CF
1,Sun Aug 18 2019,UD Las Palmas,0-1,SD Huesca,2019,Aug,18,18/Aug/2019,Sun,1,0,1,SD Huesca
2,Fri Aug 23 2019,Albacete Balompié,1-0,Girona FC,2019,Aug,23,23/Aug/2019,Fri,1,1,0,Albacete Balompié
2,Sat Aug 24 2019,Real Racing Santander,01-Jan,UD Almería,2019,Aug,24,24/Aug/2019,Sat,2,1,1,Draw
2,Sat Aug 24 2019,Real Oviedo,01-Jan,CD Lugo,2019,Aug,24,24/Aug/2019,Sat,2,1,1,Draw
2,Sat Aug 24 2019,CD Mirandés,01-Feb,Cádiz CF,2019,Aug,24,24/Aug/2019,Sat,3,1,2,Cádiz CF
2,Sat Aug 24 2019,AD Alcorcón,01-Feb,Elche CF,2019,Aug,24,24/Aug/2019,Sat,3,1,2,Elche CF
2,Sat Aug 24 2019,Málaga CF,01-Jan,UD Las Palmas,2019,Aug,24,24/Aug/2019,Sat,2,1,1,Draw
2,Sun Aug 25 2019,SD Ponferradina,01-Jan,Real Zaragoza,2019,Aug,25,25/Aug/2019,Sun,2,1,1,Draw
2,Sun Aug 25 2019,Sporting Gijón,01-Jan,Rayo Vallecano,2019,Aug,25,25/Aug/2019,Sun,2,1,1,Draw
2,Sun Aug 25 2019,SD Huesca,03-Jan,RCD La Coruña,2019,Aug,25,25/Aug/2019,Sun,4,3,1,SD Huesca
2,Sun Aug 25 2019,CD Tenerife,03-Feb,CD Numancia,2019,Aug,25,25/Aug/2019,Sun,5,3,2,CD Tenerife
2,Sun Aug 25 2019,Extremadura UD,01-Feb,CF Fuenlabrada,2019,Aug,25,25/Aug/2019,Sun,3,1,2,CF Fuenlabrada
3,Fri Aug 30 2019,Real Zaragoza,1-0,Elche CF,2019,Aug,30,30/Aug/2019,Fri,1,1,0,Real Zaragoza
3,Sat Aug 31 2019,CD Numancia,2-0,CD Mirandés,2019,Aug,31,31/Aug/2019,Sat,2,2,0,CD Numancia
3,Sat Aug 31 2019,CF Fuenlabrada,02-Jan,Real Oviedo,2019,Aug,31,31/Aug/2019,Sat,3,2,1,CF Fuenlabrada
3,Sat Aug 31 2019,UD Almería,1-0,SD Huesca,2019,Aug,31,31/Aug/2019,Sat,1,1,0,UD Almería
3,Sat Aug 31 2019,UD Las Palmas,02-Feb,Real Racing Santander,2019,Aug,31,31/Aug/2019,Sat,4,2,2,Draw
3,Sun Sep 1 2019,CD Lugo,02-Apr,AD Alcorcón,2019,Sep,1,1/Sep/2019,Sun,6,2,4,AD Alcorcón
3,Sun Sep 1 2019,Rayo Vallecano,03-Jan,RCD La Coruña,2019,Sep,1,1/Sep/2019,Sun,4,3,1,Rayo Vallecano
3,Sun Sep 1 2019,Sporting Gijón,2-0,Albacete Balompié,2019,Sep,1,1/Sep/2019,Sun,2,2,0,Sporting Gijón
3,Sun Sep 1 2019,Girona FC,1-0,Málaga CF,2019,Sep,1,1/Sep/2019,Sun,1,1,0,Girona FC
3,Sun Sep 1 2019,SD Ponferradina,4-0,CD Tenerife,2019,Sep,1,1/Sep/2019,Sun,4,4,0,SD Ponferradina
3,Sun Sep 1 2019,Cádiz CF,02-Jan,Extremadura UD,2019,Sep,1,1/Sep/2019,Sun,3,2,1,Cádiz CF
